total_sold,total_rating,favorite,item_rating,cluster
179.0,179.0,128.0,4.9,1
17.0,17.0,19.0,5.0,1
8100.0,8100.0,21500.0,4.9,2
6500.0,6500.0,3400.0,4.9,1
10.0,10.0,132.0,5.0,1
17.0,17.0,11.0,5.0,1
493.0,493.0,219.0,4.9,1
17.0,17.0,34.0,5.0,1
2900.0,2900.0,4300.0,4.9,1
553.0,553.0,47.0,4.9,1
1200.0,1200.0,2100.0,4.9,1
110.0,110.0,232.0,4.9,1
1900.0,1900.0,1900.0,4.9,1
118.0,118.0,694.0,4.9,1
12000.0,12000.0,11100.0,4.8,1
1.0,1.0,17.0,5.0,1
1700.0,1700.0,1400.0,4.9,1
463.0,463.0,770.0,5.0,1
65.0,65.0,80.0,4.9,1
19.0,19.0,20.0,5.0,1
1200.0,1200.0,981.0,4.9,1
93.0,93.0,30.0,4.9,1
1000.0,1000.0,321.0,4.9,1
1100.0,1100.0,327.0,5.0,1
3500.0,3500.0,2500.0,4.9,1
118.0,118.0,261.0,4.8,1
1200.0,1200.0,971.0,4.7,1
181.0,181.0,3700.0,4.9,1
1.0,1.0,2.0,5.0,1
2400.0,2400.0,1100.0,4.9,1
52.0,52.0,37.0,4.9,1
8.0,8.0,6.0,5.0,1
794.0,794.0,1300.0,4.9,1
2900.0,2900.0,4400.0,4.9,1
3500.0,3500.0,289.0,4.9,1
3900.0,3900.0,2800.0,4.8,1
776.0,776.0,904.0,4.7,1
481.0,481.0,149.0,4.9,1
3500.0,3500.0,4100.0,5.0,1
1.0,1.0,1.0,4.0,0
3.0,3.0,1.0,5.0,1
127.0,127.0,194.0,4.9,1
419.0,419.0,830.0,4.9,1
3200.0,3200.0,1300.0,4.9,1
6700.0,6700.0,7200.0,5.0,1
728.0,728.0,628.0,5.0,1
400.0,400.0,200.0,5.0,1
616.0,616.0,760.0,5.0,1
4600.0,4600.0,3700.0,4.9,1
6700.0,6700.0,641.0,5.0,1
60.0,60.0,21.0,4.9,1
877.0,877.0,3200.0,4.7,1
87.0,87.0,179.0,4.8,1
1.0,1.0,1.0,5.0,1
16.0,16.0,41.0,4.0,0
1100.0,1100.0,2200.0,4.8,1
19200.0,19200.0,24800.0,4.9,2
1200.0,1200.0,2700.0,4.9,1
5000.0,5000.0,629.0,4.8,1
496.0,496.0,181.0,4.9,1
2300.0,2300.0,4400.0,4.9,1
3700.0,3700.0,3500.0,4.9,1
5500.0,5500.0,1600.0,4.7,1
102.0,102.0,157.0,4.9,1
61.0,61.0,101.0,5.0,1
899.0,899.0,243.0,4.9,1
4.0,4.0,7.0,5.0,1
174.0,174.0,118.0,4.2,0
29600.0,29600.0,42000.0,5.0,2
548.0,548.0,1400.0,4.8,1
157.0,157.0,1000.0,4.8,1
12.0,12.0,47.0,4.9,1
1000.0,1000.0,816.0,4.8,1
561.0,561.0,583.0,4.8,1
1.0,1.0,7.0,5.0,1
6100.0,6100.0,1600.0,4.9,1
194.0,194.0,244.0,4.9,1
191.0,191.0,35.0,5.0,1
1600.0,1600.0,11100.0,4.9,1
5.0,5.0,53.0,5.0,1
948.0,948.0,703.0,4.9,1
1000.0,1000.0,3600.0,4.9,1
1300.0,1300.0,801.0,4.9,1
1800.0,1800.0,639.0,4.9,1
8300.0,8300.0,4800.0,5.0,1
126.0,126.0,1100.0,5.0,1
7800.0,7800.0,926.0,4.9,1
71.0,71.0,24.0,4.9,1
1400.0,1400.0,1000.0,4.9,1
10.0,10.0,14.0,4.7,1
157.0,157.0,79.0,4.9,1
1900.0,1900.0,45.0,5.0,1
1500.0,1500.0,595.0,5.0,1
406.0,406.0,90.0,4.9,1
330.0,330.0,255.0,4.8,1
25.0,25.0,237.0,4.8,1
1700.0,1700.0,3400.0,4.9,1
54.0,54.0,7.0,5.0,1
60.0,60.0,75.0,5.0,1
60.0,60.0,354.0,5.0,1
11.0,11.0,7.0,4.9,1
437.0,437.0,142.0,4.9,1
222.0,222.0,175.0,4.9,1
719.0,719.0,37.0,5.0,1
88.0,88.0,4.0,5.0,1
4400.0,4400.0,13700.0,5.0,1
255.0,255.0,169.0,4.8,1
65000.0,65000.0,19000.0,4.9,2
1100.0,1100.0,577.0,4.9,1
75.0,75.0,23.0,4.9,1
1800.0,1800.0,1200.0,4.9,1
547.0,547.0,339.0,4.8,1
1400.0,1400.0,1700.0,4.9,1
2700.0,2700.0,5700.0,4.8,1
1200.0,1200.0,544.0,4.9,1
18100.0,18100.0,4700.0,4.9,1
21600.0,21600.0,11500.0,4.7,2
37.0,37.0,36.0,5.0,1
30.0,30.0,19.0,5.0,1
395.0,395.0,133.0,4.9,1
3.0,3.0,5.0,5.0,1
2800.0,2800.0,10000.0,4.9,1
3.0,3.0,1.0,4.7,1
2600.0,2600.0,504.0,4.9,1
227.0,227.0,2000.0,4.8,1
80.0,80.0,882.0,4.8,1
1500.0,1500.0,346.0,4.9,1
1800.0,1800.0,1500.0,4.9,1
1700.0,1700.0,1300.0,5.0,1
3100.0,3100.0,390.0,4.8,1
5.0,5.0,11.0,4.4,0
466.0,466.0,86.0,4.8,1
301.0,301.0,212.0,5.0,1
2700.0,2700.0,5000.0,4.9,1
435.0,435.0,246.0,4.9,1
133.0,133.0,36.0,5.0,1
19400.0,19400.0,10200.0,4.9,2
1.0,1.0,91.0,5.0,1
2800.0,2800.0,1200.0,4.9,1
1500.0,1500.0,250.0,4.9,1
204.0,204.0,559.0,4.9,1
20500.0,20500.0,7800.0,4.9,2
183.0,183.0,355.0,4.7,1
2000.0,2000.0,2800.0,4.9,1
630.0,630.0,1700.0,4.7,1
4.0,4.0,7.0,5.0,1
960.0,960.0,424.0,4.9,1
2100.0,2100.0,1100.0,4.9,1
3400.0,3400.0,1200.0,4.7,1
15.0,15.0,31.0,4.9,1
2700.0,2700.0,1200.0,5.0,1
201.0,201.0,121.0,4.9,1
237.0,237.0,75.0,5.0,1
250.0,250.0,32.0,4.9,1
599.0,599.0,162.0,4.9,1
632.0,632.0,59.0,4.9,1
1400.0,1400.0,778.0,5.0,1
133.0,133.0,7.0,4.9,1
1300.0,1300.0,484.0,4.9,1
97.0,97.0,126.0,4.9,1
2100.0,2100.0,4700.0,4.8,1
8500.0,8500.0,18200.0,4.7,1
420.0,420.0,149.0,4.9,1
10.0,10.0,1.0,5.0,1
8300.0,8300.0,4300.0,4.9,1
2400.0,2400.0,1000.0,4.9,1
335.0,335.0,132.0,4.9,1
75.0,75.0,17.0,4.9,1
4400.0,4400.0,20800.0,4.8,1
3400.0,3400.0,1500.0,4.9,1
7100.0,7100.0,4900.0,4.9,1
16000.0,16000.0,2500.0,4.8,1
486.0,486.0,462.0,4.9,1
238.0,238.0,114.0,4.9,1
1700.0,1700.0,20800.0,4.9,1
3400.0,3400.0,2100.0,4.9,1
146.0,146.0,571.0,5.0,1
585.0,585.0,91.0,5.0,1
7100.0,7100.0,4000.0,4.9,1
678.0,678.0,344.0,4.7,1
438.0,438.0,491.0,4.9,1
1400.0,1400.0,1000.0,4.9,1
1500.0,1500.0,4000.0,4.8,1
7800.0,7800.0,3500.0,4.9,1
34.0,34.0,14.0,4.9,1
4.0,4.0,1.0,5.0,1
194.0,194.0,59.0,5.0,1
6600.0,6600.0,3400.0,4.9,1
2800.0,2800.0,1000.0,4.8,1
399.0,399.0,800.0,4.9,1
23.0,23.0,63.0,5.0,1
2200.0,2200.0,10800.0,4.9,1
792.0,792.0,756.0,4.8,1
439.0,439.0,1200.0,4.9,1
671.0,671.0,109.0,4.9,1
6100.0,6100.0,5300.0,4.9,1
237.0,237.0,113.0,4.7,1
786.0,786.0,1800.0,4.9,1
2100.0,2100.0,1100.0,4.7,1
903.0,903.0,549.0,4.9,1
31.0,31.0,41.0,5.0,1
72.0,72.0,41.0,4.9,1
1300.0,1300.0,1600.0,4.9,1
136.0,136.0,25.0,4.8,1
2000.0,2000.0,9600.0,4.8,1
514.0,514.0,1300.0,4.9,1
1200.0,1200.0,2500.0,4.6,0
103.0,103.0,1700.0,4.8,1
1700.0,1700.0,454.0,5.0,1
806.0,806.0,1800.0,4.9,1
1500.0,1500.0,271.0,4.9,1
640.0,640.0,2600.0,4.6,0
3800.0,3800.0,3800.0,4.9,1
1300.0,1300.0,3600.0,4.5,0
11900.0,11900.0,14900.0,4.9,1
4800.0,4800.0,1400.0,4.8,1
937.0,937.0,428.0,4.4,0
18.0,18.0,6.0,4.9,1
9700.0,9700.0,1900.0,4.9,1
430.0,430.0,84.0,4.9,1
1200.0,1200.0,478.0,4.9,1
209.0,209.0,37.0,5.0,1
3000.0,3000.0,840.0,4.9,1
1600.0,1600.0,1900.0,4.9,1
317.0,317.0,2100.0,4.9,1
4300.0,4300.0,19300.0,4.7,1
2900.0,2900.0,1200.0,4.9,1
18500.0,18500.0,13300.0,5.0,2
9.0,9.0,7.0,4.1,0
15000.0,15000.0,11400.0,4.9,1
114.0,114.0,199.0,4.5,0
369.0,369.0,29.0,5.0,1
3200.0,3200.0,4800.0,4.9,1
24.0,24.0,218.0,4.9,1
4500.0,4500.0,15400.0,4.8,1
1100.0,1100.0,382.0,4.9,1
75.0,75.0,173.0,4.9,1
1800.0,1800.0,955.0,4.9,1
5100.0,5100.0,1100.0,4.9,1
7100.0,7100.0,3000.0,4.9,1
1000.0,1000.0,1000.0,4.8,1
1500.0,1500.0,205.0,4.8,1
14900.0,14900.0,9200.0,4.9,1
1600.0,1600.0,670.0,4.9,1
2200.0,2200.0,2600.0,4.9,1
51.0,51.0,199.0,4.8,1
1100.0,1100.0,19.0,4.9,1
3100.0,3100.0,1600.0,4.8,1
1500.0,1500.0,3500.0,4.8,1
216.0,216.0,1200.0,4.9,1
286.0,286.0,228.0,4.9,1
1300.0,1300.0,1800.0,4.9,1
2400.0,2400.0,401.0,4.9,1
1.0,1.0,1.0,5.0,1
575.0,575.0,1800.0,4.8,1
235.0,235.0,234.0,4.9,1
916.0,916.0,1500.0,4.7,1
13.0,13.0,124.0,4.9,1
238.0,238.0,2800.0,5.0,1
11300.0,11300.0,4700.0,4.8,1
8500.0,8500.0,4300.0,4.9,1
191.0,191.0,41.0,5.0,1
665.0,665.0,581.0,4.9,1
1300.0,1300.0,705.0,4.9,1
8300.0,8300.0,4800.0,5.0,1
7000.0,7000.0,3100.0,4.9,1
1900.0,1900.0,1200.0,4.8,1
11.0,11.0,136.0,5.0,1
2200.0,2200.0,422.0,4.9,1
660.0,660.0,138.0,4.9,1
345.0,345.0,335.0,5.0,1
1600.0,1600.0,901.0,4.9,1
1700.0,1700.0,4600.0,4.8,1
91100.0,91100.0,22700.0,4.8,2
2300.0,2300.0,959.0,4.9,1
164.0,164.0,120.0,4.9,1
994.0,994.0,202.0,4.9,1
15.0,15.0,87.0,5.0,1
1700.0,1700.0,1900.0,4.7,1
4300.0,4300.0,1200.0,4.8,1
2400.0,2400.0,3200.0,4.7,1
1200.0,1200.0,595.0,4.9,1
421.0,421.0,148.0,4.8,1
188.0,188.0,616.0,4.9,1
623.0,623.0,390.0,4.9,1
247.0,247.0,78.0,4.9,1
31.0,31.0,27.0,5.0,1
2800.0,2800.0,4000.0,4.8,1
47000.0,47000.0,8800.0,5.0,2
1900.0,1900.0,2700.0,4.9,1
286.0,286.0,121.0,4.9,1
44.0,44.0,18.0,4.9,1
5800.0,5800.0,2500.0,4.9,1
3900.0,3900.0,361.0,4.9,1
270.0,270.0,49.0,4.9,1
185.0,185.0,63.0,4.9,1
1800.0,1800.0,2500.0,4.8,1
213.0,213.0,177.0,4.9,1
3200.0,3200.0,11500.0,4.9,1
3300.0,3300.0,3400.0,4.9,1
44.0,44.0,2000.0,4.8,1
138.0,138.0,52.0,5.0,1
14700.0,14700.0,2000.0,5.0,1
1700.0,1700.0,1300.0,5.0,1
119.0,119.0,69.0,4.9,1
893.0,893.0,1100.0,4.9,1
254.0,254.0,141.0,4.9,1
3400.0,3400.0,1800.0,4.9,1
394.0,394.0,712.0,4.9,1
3100.0,3100.0,1500.0,4.7,1
1100.0,1100.0,402.0,4.9,1
2800.0,2800.0,1600.0,4.8,1
186.0,186.0,90.0,5.0,1
157.0,157.0,79.0,4.9,1
1500.0,1500.0,1700.0,4.6,0
306.0,306.0,219.0,4.8,1
7700.0,7700.0,3200.0,4.9,1
292.0,292.0,163.0,4.6,0
1600.0,1600.0,652.0,4.9,1
518.0,518.0,148.0,4.9,1
1700.0,1700.0,605.0,5.0,1
241.0,241.0,77.0,4.9,1
18300.0,18300.0,10800.0,4.8,2
550.0,550.0,813.0,4.9,1
53.0,53.0,86.0,4.6,0
548.0,548.0,255.0,4.9,1
1600.0,1600.0,3600.0,5.0,1
187.0,187.0,342.0,4.9,1
992.0,992.0,909.0,4.9,1
182.0,182.0,62.0,4.9,1
77.0,77.0,72.0,5.0,1
937.0,937.0,1700.0,4.9,1
1300.0,1300.0,4500.0,4.7,1
19600.0,19600.0,8600.0,5.0,2
29.0,29.0,32.0,5.0,1
34.0,34.0,19.0,5.0,1
1100.0,1100.0,648.0,4.9,1
277.0,277.0,26.0,4.9,1
32800.0,32800.0,30000.0,4.8,2
6500.0,6500.0,2800.0,4.9,1
1700.0,1700.0,3700.0,4.9,1
1800.0,1800.0,591.0,5.0,1
472.0,472.0,191.0,4.8,1
538.0,538.0,123.0,4.9,1
12.0,12.0,8.0,4.8,1
387.0,387.0,544.0,4.9,1
608.0,608.0,244.0,4.8,1
8500.0,8500.0,3300.0,4.9,1
1100.0,1100.0,12.0,4.9,1
30.0,30.0,59.0,4.9,1
1900.0,1900.0,820.0,4.8,1
60.0,60.0,733.0,5.0,1
512.0,512.0,549.0,5.0,1
43400.0,43400.0,17000.0,4.9,2
400.0,400.0,344.0,4.7,1
908.0,908.0,92.0,5.0,1
